"Text" "Searched_Term" "Lemma" "Sentence" "Lemma_Length" "Lemma_Perc"
"1" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/ability.txt" "strang" 192 "During                 this episode, an older female relative of the student appears: It was some                 relief when an aunt of the crtin, a kind old woman, came one day, and                 took away my strange deformed companion.3 Now that the student has                 been enfolded in a kinship relation, she becomes the object of the narrators                 revulsion: The hapless creature had been at times a heavy charge . . ." 1702 11.2808460634548
"2" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/ability.txt" "strang" 343 "This shift is followed by yet another that deprives the student of                 even this immoral agency, rendering her animal: As she very rarely spoke,                 and would sit for hours together moping and mowing, and distorting her fea-                 tures with indescribable grimaces, it was more like being prisoned with some                 strange tameless animal, than associating with a human being.5 Lucy con-                 cludes by referring to the revolting bodily care she was inappropriately                 assigned: These duties should not have fallen on me; a servant, now absent,                 had rendered them hitherto.6                         This passage brings up several tensions surrounding the term abil-                 ity." 1702 20.1527614571093
"3" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/ability.txt" "up" 387 "This shift is followed by yet another that deprives the student of                 even this immoral agency, rendering her animal: As she very rarely spoke,                 and would sit for hours together moping and mowing, and distorting her fea-                 tures with indescribable grimaces, it was more like being prisoned with some                 strange tameless animal, than associating with a human being.5 Lucy con-                 cludes by referring to the revolting bodily care she was inappropriately                 assigned: These duties should not have fallen on me; a servant, now absent,                 had rendered them hitherto.6                         This passage brings up several tensions surrounding the term abil-                 ity." 1702 22.737955346651
"4" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/aestheticism.txt" "up" 694 "But there is, needless to say, a different history of aestheticism that                 does not quite live up to the ways in which scholars invoke the term in                 their current inquiries." 2072 33.4942084942085
"5" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/aestheticism.txt" "up" 880 "His main complaint is that                       this work carries Tennysons tendency to pure stheticism to an                       extreme point.3 It is picture and music, he declares, and nothing                       more.4 Brimley cannot tolerate the luscious atmosphere that the                       poem conjures for the mental and physical discombobulation of the mar-                       iners who, in Book 9 of Homers Odyssey, are washed up on an island                       where the inhabitants ingest a fruit that has all the qualities of an opiate:                                A land of streams!" 2072 42.4710424710425
"6" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/anachronism.txt" "down" 603 "Their narratives                       replace Scrooge and Marners anti-social pleasure in and from the past                       what Edelman calls the closed economy of the backward gazewith the                       normative social structure of futurity.6 Chakrabarty and Edelman suggest,                       in quite different ways, that Victorian writers integrate social difference                       into shared time in order to prevent the unruly possibilities of untimely ori-                       entations, to close down alternative ways of being in the world." 1586 38.0201765447667
"7" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/beauty.txt" "up" 1020 "Set up on the initiative of Samuel and Henrietta                       Barnett and inspired by their commitment to Ruskins teachings on art                       and society, the Exhibitions, which ran from 1881 to 1897, represent a prac-                       tical endeavor to democratize beauty.8 What do the people want with fine                       art? . . ." 1744 58.4862385321101
"8" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/boy.txt" "down" 1173 "When men misbehave, or                 when their masculinity becomes toxic, more often than not that toxic-                 ity is attributed to the boy within, a mans violence blamed paradoxically                 on his failure to hunt down and kill that little creature." 1660 70.6626506024096
"9" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/boy.txt" "up" 1367 "Brought up in Belfast as an Ulster-Scots Unionist with a determi-                       nation to be British rather than Irish, and educated in the most                       English of institutions, I am now in the awkward position of being                       grateful for the Irish states continuing political claim on Northern                       Ireland, which renders me an EU citizen." 1660 82.3493975903614
"10" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/boy.txt" "up" 1448 "Now, I am increasingly aware that up until 2013 I was                       exclusively a scholar of Victorian England, and, in the present moment,                       my research is strongly aligned with Scottish studies, a field which has                       had surprisingly little dialogue with Victorian studies." 1660 87.2289156626506
"11" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/britain.txt" "up" 85 "Brought up in Belfast as an Ulster-Scots Unionist with a determi-                       nation to be British rather than Irish, and educated in the most                       English of institutions, I am now in the awkward position of being                       grateful for the Irish states continuing political claim on Northern                       Ireland, which renders me an EU citizen." 2063 4.1202132816287
"12" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/britain.txt" "up" 166 "Now, I am increasingly aware that up until 2013 I was                       exclusively a scholar of Victorian England, and, in the present moment,                       my research is strongly aligned with Scottish studies, a field which has                       had surprisingly little dialogue with Victorian studies." 2063 8.04653417353369
"13" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/canon.txt" "up" 807 "3/4                       When a database calls up Jane Eyre and a temperance tract with equal                       facility and in identical formats, that powerfully suggests equivalent inter-                       est." 1552 51.9974226804124
"14" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/career.txt" "top" 222 "As Nicholas Dames has shown, the Civil Service reforms                       of the 1850s, along with the rationalization of colonial governance in                       India, gave rise to a new narrative of professional success.1 This kind of                       success rewarded expertise in the administration of bureaucratic tasks;                       prominence came to those who achieved seniority or rose within pre-                       scheduled channels to the top of an organizational hierarchy estab-                       lished according to values of efficiency and stability.2 As Max Weber sug-                       gested at the beginning of the twentieth century, the modern career                       differed in important respects from the older ideals of promotion, in                       which success derived from the securing of individual privileges and                       bestowal of favor.3 The modern career required specific skills, not                       diverse abilities or loyalty to a particular ruler or official, and a persons                       career path proceeded according to externally constructed steps that                       depended, at least in theory, on rational, meritocratic evaluations.4                               When Pierre Bourdieu was writing Homo Academicus (1984), one of                       the first extensive analyses of intellectuals relationships to institutional                       hierarchies, Western cultures reigning conception of a professional                       occupation was still this narrative one of the bureaucratic career." 1698 13.0742049469965
"15" "C:/Users/Nick/Desktop/RR-Recreational-Reckoning-Main/Processed-Texts-2018-11-15/causality.txt" "up" 715 "But in both lies a recognition that long, complex causalities might                 become legible in singularity: we regard every production of nature                 as one which has had a history; . . . we contemplate every complex                 structure and instinct . . . exactly in the same way as when we look                 at any great mechanical invention as the summing up of the labour,                 the experience, the reason, and even the blunders of numerous                 workmen.5                         What would it mean to look upon the productions of the world, as                 these two writers do, as systems, as summings-up of multiple, intertwined                 causes?" 1995 35.8395989974937
